year,week,hour,branch,value
2045,21,39,35,-10000.0
2045,21,40,35,-10000.0
2045,21,41,35,-10000.0
2045,21,42,35,-10000.0
2045,21,43,35,-10000.0
2045,21,44,35,-10000.0
2045,21,45,35,-10000.0
2045,21,46,35,-10000.0
2045,21,47,35,-10000.0
2045,21,48,35,-10000.0
2045,21,49,35,-10000.0
2045,21,50,35,-10000.0
2045,21,51,35,-10000.0
2045,21,52,35,-10000.0
2045,21,53,35,-10000.0
2045,21,54,35,-10000.0
2045,21,55,35,-10000.0
2045,21,56,35,-10000.0
2045,21,57,35,-10000.0
2045,21,58,35,-10000.0
2045,21,59,35,-10000.0
2045,21,60,35,-3439.7360264645886
2045,21,61,35,-8682.62190549473
2045,21,62,35,-9875.513065872703
2045,21,63,35,-10000.0
2045,21,64,35,-10000.0
2045,21,65,35,-10000.0
2045,21,66,35,-10000.0
2045,21,67,35,-10000.0
2045,21,68,35,-10000.0
2045,21,69,35,-10000.0
2045,21,70,35,-10000.0
2045,21,71,35,-10000.0
2045,21,72,35,-10000.0
2045,21,73,35,-10000.0
2045,21,74,35,-10000.0
2045,21,75,35,-10000.0
2045,21,76,35,-10000.0
2045,21,77,35,-10000.0
2045,21,78,35,-10000.0
2045,21,79,35,-10000.0
2045,21,80,35,-10000.0
2045,21,81,35,-10000.0
2045,21,82,35,-10000.0
2045,21,83,35,-10000.0
2045,21,84,35,-7160.062721409262
2045,21,85,35,-4389.393361773895
2045,21,86,35,-4937.544985699256
2045,21,87,35,-9193.999714997039
2045,21,88,35,-10000.0
2045,21,89,35,-10000.0
2045,21,90,35,-10000.0
2045,21,91,35,-10000.0
2045,21,92,35,-10000.0
2045,21,93,35,-10000.0
2045,21,94,35,-10000.0
2045,21,95,35,-10000.0
2045,21,96,35,-10000.0
2045,21,97,35,-10000.0
2045,21,98,35,-10000.0
2045,21,99,35,-10000.0
2045,21,100,35,-10000.0
2045,21,101,35,-10000.0
2045,21,102,35,-10000.0
2045,21,103,35,-10000.0
2045,21,104,35,-10000.0
2045,21,105,35,-10000.0
2045,21,106,35,-10000.0
2045,21,107,35,-10000.0
2045,21,108,35,-7144.550036905248
2045,21,109,35,-3640.8976864648594
2045,21,110,35,-4964.581679421448
2045,21,111,35,-10000.0
2045,21,112,35,-10000.0
2045,21,113,35,-10000.0
2045,21,114,35,-10000.0
2045,21,115,35,-10000.0
2045,21,116,35,-10000.0
2045,21,117,35,-10000.0
2045,21,118,35,-10000.0
2045,21,119,35,-10000.0
2045,21,120,35,-10000.0
2045,21,121,35,-10000.0
2045,21,122,35,-10000.0
2045,21,123,35,-10000.0
2045,21,124,35,-10000.0
2045,21,125,35,-10000.0
2045,21,126,35,-10000.0
2045,21,127,35,-10000.0
2045,21,128,35,-10000.0
2045,21,129,35,-10000.0
2045,21,130,35,-10000.0
2045,21,131,35,-10000.0
2045,21,132,35,-5792.088343799121
2045,21,133,35,-1202.748437822801
2045,21,134,35,-1405.2867667556875
2045,21,135,35,-7597.08640388413
2045,21,136,35,-10000.0
2045,21,137,35,-10000.0
2045,21,138,35,-10000.0
2045,21,139,35,-10000.0
2045,21,140,35,-10000.0
2045,21,141,35,-10000.0
2045,21,142,35,-10000.0
2045,21,143,35,-10000.0
2045,21,144,35,-10000.0
2045,21,145,35,-10000.0
2045,21,146,35,-10000.0
2045,21,147,35,-10000.0
2045,21,148,35,-10000.0
2045,21,149,35,-10000.0
2045,21,150,35,-10000.0
2045,21,151,35,-10000.0
2045,21,152,35,-10000.0
2045,21,153,35,-10000.0
2045,21,154,35,-10000.0
2045,21,155,35,-10000.0
2045,21,156,35,-10000.0
2045,21,157,35,-10000.0
2045,21,158,35,-10000.0
2045,21,159,35,-10000.0
2045,21,160,35,-10000.0
2045,21,161,35,-10000.0
2045,21,162,35,-10000.0
2045,21,163,35,-10000.0
2045,21,164,35,-10000.0
2045,21,165,35,-10000.0
2045,21,166,35,-10000.0
2045,21,167,35,-10000.0
2045,42,0,35,-10000.0
2045,42,1,35,-10000.0
2045,42,2,35,-10000.0
2045,42,3,35,-10000.0
2045,42,4,35,-10000.0
